mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.707853635152181,0.681282291850343,0.16487757364908853,0.06022897282801527,,1,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6526946107784432,0.6167664670658682,0.6338461538461538,0.6344357438968218,0.01467352695568324,3
3.5506509939829507,0.6841151224587997,0.21503146489461264,0.07582819557149968,,1,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.6526946107784432,0.6451612903225806,0.6545454545454545,0.6508004518821594,0.004058449045612107,1
1.1727622350056965,0.09906496978493104,0.10645612080891927,0.03734588450662878,,1,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.5669781931464174,0.6055045871559633,0.5949367088607594,0.5891398297210467,0.016253689112834695,7
2.2318312327067056,0.21288097541471704,0.16979392369588217,0.12091434567562061,,1,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5768025078369906,0.6036585365853658,0.6012658227848101,0.5939089557357221,0.01213546289782844,6
0.8035368919372559,0.13323816857556406,0.06963268915812175,0.023582289870631937,,2,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.5660377358490566,0.5443037974683544,0.5478547854785478,0.5527321062653197,0.009519531253405517,11
3.401459534962972,1.0202861466740758,0.21174128850301108,0.03184747064755174,,2,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5488958990536278,0.5545171339563862,0.5382059800664452,0.5472063376921531,0.006765323273920537,12
1.3048353989919026,0.15777256910846568,0.10446127255757649,0.028339470201688595,,2,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.5612903225806452,0.5175718849840255,0.528052805280528,0.5356383376150663,0.018636535301590172,15
2.548562924067179,0.2424993222455292,0.15228001276652017,0.03732851863117671,,2,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5537459283387622,0.5209003215434084,0.53156146179402,0.5354025705587301,0.013681473089437391,16
1.2049017747243245,0.15116181277158497,0.06851482391357422,0.027783727611543404,10,1,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.5359477124183006,0.5488958990536278,0.5084745762711864,0.5311060625810383,0.01685332833064091,17
1.727204163869222,0.28796835113865377,0.12993272145589194,0.02898490201168248,10,1,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5377049180327869,0.5144694533762058,0.5234899328859061,0.5252214347649663,0.009564527467669242,18
0.9073325792948405,0.1146014628234285,0.06335171063741048,0.018840736118014036,10,1,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.5263157894736842,0.4882943143812709,0.5051194539249146,0.5065765192599566,0.015556358219790952,20
1.2303071022033691,0.16350043962099156,0.07311296463012695,0.0010515072597212186,10,1,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5377049180327869,0.501628664495114,0.4948453608247423,0.5113929811175477,0.018810313134816282,19
0.5473513603210449,0.004067314983409451,0.04872337977091471,0.00040450957990596765,10,2,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.4864864864864865,0.4983388704318937,0.4742268041237113,0.4863507203473638,0.009844177966220944,23
1.067113955815633,0.008460043490901192,0.08946744600931804,0.019712182286351,10,2,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.49158249158249157,0.49333333333333335,0.49829351535836175,0.49440311342472887,0.0028422739855068413,22
0.5571676890055338,0.0217623013254933,0.046317338943481445,0.0005477886027799958,10,2,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.5211726384364821,0.47651006711409394,0.5017182130584192,0.49980030620299837,0.018283783239278914,21
1.087109088897705,0.011044607670335332,0.07380127906799316,0.0012879596289490718,10,2,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.49498327759197325,0.4781144781144781,0.4808362369337979,0.4846446642134164,0.007394465845531237,24
0.6172615687052408,0.001884088691252285,0.055977821350097656,0.007209712805383257,20,1,2,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6547619047619048,0.5981873111782477,0.6484848484848484,0.6338113548083336,0.02532001477481179,4
1.3493118286132812,0.16470381213044824,0.11072826385498047,0.03673507028470969,20,1,2,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.6486486486486487,0.6392961876832844,0.6504559270516718,0.646133587794535,0.004890745956566332,2
0.9441046714782715,0.2910048785950937,0.08916266759236653,0.022537034526442165,20,1,5,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.5696594427244582,0.6055045871559633,0.5841269841269842,0.5864303380024686,0.014724077201093616,8
1.7720733483632405,0.22031061499718585,0.10653201738993327,0.04196472254821451,20,1,5,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5838509316770186,0.599388379204893,0.6012658227848101,0.594835044555574,0.007804667423859303,5
0.6252164840698242,0.01571548652133116,0.05286796887715658,0.0037660362405062976,20,2,2,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.5642633228840125,0.5471698113207547,0.5526315789473685,0.5546882377173786,0.007128319968641577,9
1.1798912684122722,0.012312669090004346,0.08375040690104167,0.0047206103567916545,20,2,2,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5534591194968553,0.5517241379310345,0.5573770491803278,0.5541867688694059,0.0023644529466138975,10
0.5939013957977295,0.01605886148711236,0.04758008321126302,0.0001258751254423704,20,2,5,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.5659163987138264,0.5175718849840255,0.5311475409836065,0.5382119415604861,0.020358901715231578,14
1.084710677464803,0.1032091925043418,0.069001038869222,0.012056955377350612,20,2,5,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5584415584415584,0.5161290322580645,0.5460526315789473,0.5402077407595235,0.017761560170312628,13
